Time,T00,M10,T10,M20,T20,M30,T30,M40,T40
1,22.4375,28.17,22.4375,28.17,22.4375,26.25,22.375,26.99,22.25
2,21.375,30.85,22.3125,29.56,22.4375,27.14,22.3125,27.47,22.1875
3,21.0625,30.77,22.1875,29.53,22.375,27.56,22.3125,27.86,22.1875
4,20.8125,29.96,22.0625,29.12,22.3125,27.15,22.3125,27.7,22.125
5,20.5625,29.43,22,28.82,22.3125,26.82,22.25,27.49,22.125
6,20.6875,29.11,21.875,28.57,22.25,26.61,22.25,27.31,22.125
7,20.875,28.86,21.875,28.42,22.1875,26.44,22.1875,27.2,22.125
8,21.125,28.7,21.8125,28.3,22.1875,26.32,22.1875,27.09,22.0625
9,21.3125,28.55,21.875,28.23,22.125,26.23,22.1875,27.02,22.0625
10,22.0625,28.43,21.9375,28.16,22.125,26.16,22.125,26.96,22.0625
11,23.375,30.07,22.125,29.42,22.125,27.35,22.125,27.85,22.0625
12,22.9375,30.95,22.1875,29.95,22.0625,28.65,22.0625,29.24,22.0625
13,22.9375,31.09,22.125,29.97,22.0625,28.63,22.0625,29.19,22
14,22.8125,31.15,21.9375,29.99,21.9375,28.62,22,29.17,22
15,22.9375,31.2,21.875,29.98,21.875,28.64,21.9375,29.18,22
16,22.4375,31.21,21.75,30,21.75,28.63,21.875,29.16,21.9375
17,22.1875,31.27,21.625,30.01,21.6875,28.67,21.8125,29.2,21.875
18,21.75,31.29,21.4375,30.02,21.5625,28.68,21.6875,29.2,21.8125
19,21.375,31.34,21.3125,30.06,21.4375,28.74,21.625,29.24,21.8125
20,20.625,30.81,21.0625,29.63,21.3125,28.09,21.5625,28.63,21.6875
21,20.0625,29.76,20.875,29.01,21.1875,27.22,21.5,27.84,21.6875
22,19.8125,29.26,20.75,28.64,21.1875,26.84,21.4375,27.53,21.625
23,19.5625,28.94,20.6875,28.44,21.125,26.62,21.375,27.35,21.625
24,19.3125,28.72,20.625,28.3,21.125,26.45,21.375,27.22,21.5625
25,19.1875,28.54,20.5625,28.2,21.0625,26.33,21.3125,27.11,21.5625
26,19,28.4,20.5625,28.12,21.0625,26.24,21.3125,27.03,21.5
27,18.9375,28.3,20.5,28.05,21.0625,26.16,21.3125,26.96,21.5
28,18.8125,28.21,20.4375,28,21,26.1,21.25,26.91,21.5
29,18.75,28.11,20.4375,27.96,21,26.05,21.25,26.86,21.4375
30,19.0625,28.04,20.375,27.92,20.9375,25.99,21.25,26.81,21.4375
31,19.8125,27.97,20.4375,27.88,20.9375,25.95,21.25,26.77,21.4375
32,21.25,30.86,20.5625,29.9,20.875,28.45,21.1875,28.22,21.4375
33,22.4375,31.73,20.625,30.25,20.8125,29.07,21.0625,29.55,21.375
34,23.1875,32.26,20.6875,30.46,20.75,29.35,20.9375,29.81,21.25
35,24.1875,32,20.8125,30.26,20.75,28.96,20.9375,29.54,21.1875
36,24.875,31.92,21.0625,30.19,20.75,28.81,20.9375,29.42,21.1875
37,24.75,31.84,21.25,30.13,20.8125,28.65,20.875,29.15,21.1875
38,24.5625,31.85,21.4375,30.14,20.875,28.67,20.875,29.17,21.125
39,23.8125,31.74,21.4375,30,20.9375,28.46,20.875,28.85,21.0625
40,23.375,31.9,21.5,30.18,21.0625,28.78,20.9375,29.36,21.0625
