Time,T00,M10,T10,M20,T20,M30,T30,M40,T40
1,5.3125,26.51,8.8125,21.72,10.375,21.19,11.625,24.76,12.3125
2,5,26.46,8.5625,21.71,10.3125,21.18,11.5625,24.74,12.25
3,5.4375,26.41,8.5625,21.73,10.1875,21.19,11.5,24.74,12.25
4,5.8125,26.39,8.5,21.74,10.1875,21.2,11.4375,24.75,12.25
5,5.6875,26.34,8.5,21.75,10.0625,21.21,11.4375,24.75,12.1875
6,5.5625,26.3,8.4375,21.76,10,21.2,11.3125,24.73,12.125
7,5.6875,26.28,8.375,21.76,10,21.2,11.3125,24.72,12.125
8,5.5625,26.25,8.3125,21.77,9.9375,21.21,11.1875,24.72,12.0625
9,6.6875,26.23,8.375,21.79,9.875,21.22,11.1875,24.72,12
10,8.3125,26.23,8.5625,21.82,9.875,21.23,11.125,24.73,12
11,9.625,26.22,8.9375,21.86,9.875,21.26,11.125,24.79,11.9375
12,11.25,26.22,9.3125,21.87,9.9375,21.27,11.0625,24.79,11.9375
13,12.3125,26.2,9.75,21.89,10.0625,21.27,11.0625,24.78,11.875
14,13.5625,26.17,10.1875,21.92,10.1875,21.27,11.0625,24.78,11.875
15,14.3125,26.14,10.625,21.95,10.375,21.28,11.125,24.77,11.8125
16,14.25,26.11,11.0625,21.98,10.5625,21.28,11.1875,24.78,11.8125
17,13.5625,26.08,11.375,22.01,10.8125,21.29,11.25,24.82,11.8125
18,11.25,26.02,11.3125,22.05,11,21.32,11.3125,24.84,11.8125
19,9.6875,25.94,11.125,22.06,11.125,21.34,11.375,24.84,11.875
20,8.9375,25.88,10.875,22.06,11.125,21.35,11.5,24.85,11.875
21,8.5,25.83,10.625,22.06,11.125,21.35,11.5625,24.85,11.9375
22,8.1875,25.77,10.4375,22.06,11.125,21.36,11.5625,24.86,12
23,7.8125,25.73,10.25,22.06,11.0625,21.36,11.625,24.86,12
24,7.6875,25.7,10.125,22.07,11,21.37,11.625,24.86,12
25,7.375,25.67,10,22.06,10.9375,21.37,11.625,24.85,12.0625
26,7.25,25.65,9.8125,22.07,10.875,21.37,11.625,24.85,12.0625
27,7.125,25.62,9.6875,22.06,10.8125,21.36,11.625,24.83,12.0625
28,6.875,25.59,9.5625,22.07,10.75,21.36,11.5625,24.82,12.0625
29,6.8125,25.58,9.4375,22.07,10.6875,21.36,11.5625,24.82,12.0625
30,6.5625,25.56,9.3125,22.08,10.625,21.36,11.5,24.82,12.0625
31,6.6875,25.53,9.25,22.08,10.5625,21.36,11.5,24.81,12.0625
32,6.125,25.5,9.125,22.09,10.4375,21.36,11.4375,24.8,12
